sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
關山,臺東縣,17,,良好,0.6,0.1,3.2,8.2,13,12,4.3,5.1,0.7,0.3,299,"2022/11/30 01:00:00",0.1,5,11,0,121.161933,23.045083,80
麥寮,雲林縣,71,細懸浮微粒,普通,1,0.23,10,19.2,57,28,12.1,13.1,1,2.1,358,"2022/11/30 01:00:00",0.2,23,50,1,120.251825,23.753506,83
富貴角,新北市,36,,良好,0,0.22,43.5,39.3,31,8,0.9,0.8,0,10.5,38,"2022/11/30 01:00:00",0.1,8,20,0,121.53656894,25.29681695,84
大城,彰化縣,68,細懸浮微粒,普通,1.4,0.15,31.2,24.3,18,7,11.1,11.9,0.7,3.9,40,"2022/11/30 01:00:00",0.1,22,45,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,52,細懸浮微粒,普通,2.4,0.26,8.5,14.6,25,9,14,14.7,0.6,1,346,"2022/11/30 01:00:00",0.3,16,31,2,120.56373,23.96117,201
高雄(湖內),高雄市,56,細懸浮微粒,普通,1.8,0.3,15.3,18.5,32,25,16.4,18.1,1.7,0.7,43,"2022/11/30 01:00:00",0.2,17,25,2,120.24535,22.87985556,202
臺南(麻豆),臺南市,55,細懸浮微粒,普通,0.7,0.23,11,32,43,19,18.8,19.8,0.9,1.3,359,"2022/11/30 01:00:00",0.2,17,41,1,120.24583056,23.17904722,203
屏東(琉球),屏東縣,35,,良好,1.2,0.28,3.2,15.4,31,14,14.8,15.3,0.5,0.6,49,"2022/11/30 01:00:00",0.1,10,21,2,120.37722,22.35222,204
宜蘭(壯圍),宜蘭縣,28,,良好,0,0.26,31.5,25.3,24,5,2.1,2.2,0,4.3,35,"2022/11/30 01:00:00",0.2,6,28,0,121.815708,24.765468,310
新北(樹林),新北市,,,,,,,,,,,,,,,"2022/11/30 01:00:00",,,,,121.38352778,24.94902778,311
臺南(學甲),臺南市,53,細懸浮微粒,普通,0.3,0.23,23.3,30.9,40,17,6.1,7.1,1,1.2,21,"2022/11/30 01:00:00",0.2,16,46,0,120.18339722,23.23688056,312
屏東(枋山),屏東縣,18,,良好,0,0.07,19,19.5,4,0,0.9,1.2,0.3,3.1,89,"2022/11/30 01:00:00",0,3,7,0,120.651472,22.260899,313
